gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,license,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
1228041738,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740341,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,Ben Nevis,98e934b0-5f31-11de-b67e-b8a03c50a862,56.798611,-5.002222,,,,,,,1837-07-15T01:00Z,15,7,1837,8425059,5567705,PRESERVED_SPECIMEN,E,E,E00740341,,,CC_BY_NC_4_0,,Hamilton,,,,,
1228041018,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740285,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes engleri,engleri,SUBSPECIES,Saxifraga stellaris subsp. engleri (Dalla Torre) P.Fourn.,GB,near Loch Brandy,98e934b0-5f31-11de-b67e-b8a03c50a862,56.865278,-3.085,,,,,,,1831-01-01T01:00Z,,,1831,8425059,5567705,PRESERVED_SPECIMEN,E,E,E00740285,,,CC_BY_NC_4_0,,,,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228040438,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740199,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Meal da greihdy [Meall na Graidhe],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228040367,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740348,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Glen Phee [Fee],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228039756,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740196,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Ben-y-muick-dhui [Ben Macdui],98e934b0-5f31-11de-b67e-b8a03c50a862,57.069722,-3.668889,,,,,,,1847-08-14T01:00Z,14,8,1847,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740196,,,CC_BY_NC_4_0,,Murchison,,,,,
1228039275,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740197,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Glen Callater,98e934b0-5f31-11de-b67e-b8a03c50a862,56.940833,-3.342778,,,,,,,1847-08-10T01:00Z,10,8,1847,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740197,,,CC_BY_NC_4_0,,Murchison,,,,,
1228039177,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740207,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Ben Lomond,98e934b0-5f31-11de-b67e-b8a03c50a862,56.1825,-4.6425,,,,,,,1877-08-22T01:00Z,22,8,1877,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740207,,,CC_BY_NC_4_0,,Craig-Christie,,,,,
1228038857,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740233,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Snowdon,98e934b0-5f31-11de-b67e-b8a03c50a862,53.068333,-4.076111,,,,,,,1838-07-27T01:00Z,27,7,1838,7339184,5567578,PRESERVED_SPECIMEN,E,E,E00740233,,,CC_BY_NC_4_0,,,,,2017-10-06T15:43Z,,GEODETIC_DATUM_ASSUMED_WGS84
1228036606,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740261,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Glen Rosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228036144,bf2a4bf0-5f31-11de-b67e-b8a03c50a862,http://data.rbge.org.uk/herb/E00740300,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes stellaris,stellaris,VARIETY,Saxifraga stellaris var. stellaris,GB,Teesdale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
