gbifid,kingdom,phylum,class,order,family,genus,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500364907,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",fimbriata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500364495,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454581529,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",glauca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454581241,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",coccifera,,,,,,,,,,,,,,,,,,,E,E00817791,34,CC_BY_NC_4_0,Sutcliffe,,,,,,,,,,,,,,,,,,,,,,,,,
1454580379,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454579982,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",polydactyla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454579678,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",pyxidata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454579344,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454562920,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",fimbriata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454562865,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",chlorophaea,,,,,,,,,,,,,,,,,,,PRESERVED_SPECIMEN,E,E,E00817831,26,CC_BY_NC_4_0,Sutcliffe,,,,,,,,,,,,,,,,,,,,,,,
1454545624,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",coccifera,,,,,,,,,,,,,,,,,,,Sutcliffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454545316,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",macilenta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454545243,"	Fungi","	Ascomycota","	Lecanoromycetes","	Lecanorales","	Cladoniaceae","	Cladonia	",unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
