gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
574775495																										http://data.rbge.org.uk/living/19850014													2012-12-19 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19850014	19850014	84/10	McLeish, Ian				not recorded							dead																		October 1984		289					October 1984		collected directly from the wild													OM		Dhofar			Wadi Hinna		100	100	100 M																	degrees minutes seconds																																													Orchidaceae												Orchidaceae	Unk.orchidaceae								ICBN			
574775468																										http://data.rbge.org.uk/living/20100880																												PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20100880	20100880	0008 (S3/N2)	Aguilar, Jaime; Bungard, Stephan & Millas, Bertha				not recorded							dead																		2010-06-28		179					2010-06-28		collected directly from the wild								Britain and Ireland					GB		Scotland	North Ebudes (VC 104)		Totescore, Scuddaburgh farm, Uig		13	13	13 M																	degrees minutes seconds																																													Dactylorhiza traunsteinerioides (Pugsley) Landwehr												Orchidaceae	Dactylorhiza		traunsteinerioides						ICBN			
574775466																										http://data.rbge.org.uk/living/20100879													2018-03-21 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20100879	20100879	0007 (S3/N1)	Aguilar, Jaime; Bungard, Stephan & Millas, Bertha				not recorded							alive																		2010-06-28		179					2010-06-28		collected directly from the wild								Britain and Ireland					GB		Scotland	North Ebudes (VC 104)		Totescore, Scuddaburgh farm, Uig		13	13	13 M																	degrees minutes seconds																																													Dactylorhiza traunsteinerioides (Pugsley) Landwehr												Orchidaceae	Dactylorhiza		traunsteinerioides						ICBN			
574775464																										http://data.rbge.org.uk/living/19680810													2001-07-24 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19680810	19680810	1012	Woods, Patrick James Blyth				not recorded							dead																		April 1968		106					April 1968		collected directly from the wild				Growing in moss at base of tree.									ID		Jawa			Gonong Gede-Pangrango National Park, above Tjibodas.		1400	1400	1400 M																	degrees minutes seconds																																													Malaxis soleiformis (J.J.Sm.) Bakh.f.												Orchidaceae	Malaxis		soleiformis						ICBN			
574775436																										http://data.rbge.org.uk/living/19722880													2000-10-10 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19722880	19722880		Argent, George C.G.				not recorded							dead																											collected directly from the wild													PG					Mt. Shungol; Herzog Mts, near Lae		2134	2682	2134-2682 M																	degrees minutes seconds																																													Mediocalcar												Orchidaceae	Mediocalcar								ICBN			
574775388																										http://data.rbge.org.uk/living/19710899													1998-03-20 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19710899	19710899	142	Bacon, Andrew J.				not recorded							dead																											collected directly from the wild													MY		Sabah			Kaingaran Area		762	914	762-914 M																	degrees minutes seconds																																													Dendrobium hamaticalcar J.J.Wood & Dauncey												Orchidaceae	Dendrobium		hamaticalcar						ICBN			
574775372																										http://data.rbge.org.uk/living/20041354													2017-08-23 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20041354	20041354	2628					not recorded							alive																											collected directly from the wild													PG					Woitape, riverside												-8.616667	147.233333						8° 37' E	147° 14' E	degrees minutes seconds																																													Bulbophyllum												Orchidaceae	Bulbophyllum								ICBN			
574775360																										http://data.rbge.org.uk/living/19731109													2000-10-05 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19731109	19731109	33	Edwards, S M				not recorded							dead																											collected directly from the wild													NP					ca 2 miles NE of Trisuli Bazaar		610	610	610 M																	degrees minutes seconds																																													Cymbidium												Orchidaceae	Cymbidium								ICBN			
574775356																										http://data.rbge.org.uk/living/19731110													2000-10-05 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/19731110	19731110	34	Edwards, S M				not recorded							dead																											collected directly from the wild													NP					ca 2 miles NE of Trisuli Bazaar		610	610	610 M																	degrees minutes seconds																																													Dendrobium												Orchidaceae	Dendrobium								ICBN			
574775280																										http://data.rbge.org.uk/living/20041365													2017-08-23 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Living Collection	E	LivingSpecimen				http://data.rbge.org.uk/living/20041365	20041365	2642					not recorded							dead																											collected directly from the wild													PG					Woitape, private garden												-8.616667	147.233333						8° 37' E	147° 14' E	degrees minutes seconds																																													Bulbophyllum												Orchidaceae	Bulbophyllum								ICBN			
