gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
574725863	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjgvMjUvOTAvUGhvdG9fNTFjMWNmOGY4YjU3Yy5qcGc=	http://data.rbge.org.uk/living/19821028	19821028	Image of living collection specimen with accession number 19821028 by Lynsey Muir		Lynsey Muir		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574725863	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjgvMjUvOTAvUGhvdG9fNTFjMWNmOGYzN2MwMy5qcGc=	http://data.rbge.org.uk/living/19821028	19821028	Image of living collection specimen with accession number 19821028 by Lynsey Muir		Lynsey Muir		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574725863	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvNjgvMjUvOTAvUGhvdG9fNTFjMWNmOGZkNzA3MC5qcGc=	http://data.rbge.org.uk/living/19821028	19821028	Image of living collection specimen with accession number 19821028 by Lynsey Muir		Lynsey Muir		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574725423	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODkvMjUvNzEvUGhvdG9fNTFjMWNjMmVkNTdjNC5qcGc=	http://data.rbge.org.uk/living/19892571	19892571	Image of living collection specimen with accession number 19892571 by Unknown		Unknown		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574725423	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODkvMjUvNzEvUGhvdG9fNTFjMWNjMmYyMWE0NC5qcGc=	http://data.rbge.org.uk/living/19892571	19892571	Image of living collection specimen with accession number 19892571 by Unknown		Unknown		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574723938	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODQvMTUvODIvUGhvdG9fNTFjMWM5ZjdlZGNkOC5qcGc=	http://data.rbge.org.uk/living/19841582	19841582	Image of living collection specimen with accession number 19841582 by Debbie White Slide Library		Debbie White Slide Library		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574723938	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODQvMTUvODIvUGhvdG9fNTFjMWM5Zjg2NWNiNy5qcGc=	http://data.rbge.org.uk/living/19841582	19841582	Image of living collection specimen with accession number 19841582 by Debbie White Slide Library		Debbie White Slide Library		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574723938	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODQvMTUvODIvUGhvdG9fNTFjMWM5ZjhkZTcxMy5qcGc=	http://data.rbge.org.uk/living/19841582	19841582	Image of living collection specimen with accession number 19841582 by Debbie White Slide Library		Debbie White Slide Library		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574723938	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODQvMTUvODIvUGhvdG9fNTFjMWM5Zjk1MDlhMC5qcGc=	http://data.rbge.org.uk/living/19841582	19841582	Image of living collection specimen with accession number 19841582 by Debbie White Slide Library		Debbie White Slide Library		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
574723938	StillImage	image/jpeg	http://repo.rbge.org.uk/image_server.php?kind=1500&path_base64=L2l0ZW1faW1hZ2VzL2FjY2Vzc2lvbnMvMTkvODQvMTUvODIvUGhvdG9fNTFjMWM5ZjliZTc0NC5qcGc=	http://data.rbge.org.uk/living/19841582	19841582	Image of living collection specimen with accession number 19841582 by Debbie White Slide Library		Debbie White Slide Library		Royal Botanic Garden Edinburgh			http://creativecommons.org/licenses/by-nc/3.0/	Copyright Royal Botanic Garden Edinburgh. Contact us for rights to commercial use.
